Fold change;Reaction/enzyme;Short enzyme name
21.7;glycogen (starch) synthase;GLYSTASYN
14.1;sodium proton antiporter;NAt3_1
10.3;malic enzyme (NADP);ME2m
9.63;transketolase 2;TKT2
9.00;;rHb
9.00;;EX_rHb
8.99;porphobilinogen synthase;PPBNGS
8.99;5-aminolevulinate transport;5AOPtm
8.99;5-aminolevulinate synthase;ALASm
8.99;uroporphyrinogen decarboxylase (uroporphyrinogen III);UPPDC1
8.99;coproporphyrinogen oxidase (O2 required);CPPPGO
8.99;ferrochelatase;FCLTm
8.99;uroporphyrinogen-III synthase;UPP3S
8.99;iron (II) transport;FE2utm
8.99;protoporphyrinogen IX transport;PPPG9tm
8.99;hydroxymethylbilane synthase;HMBS
8.99;protoporphyrinogen oxidase;PPPGOm
8.95;iron (II) transport;FE2t
5.13;valine transaminase, mitochondiral;VALTAim
5.13;valine transport;VALt5m
4.94;cystathionine beta-synthase;CYSTS
4.57;UTP-glucose-1-phosphate uridylyltransferase;GALUi
4.06;ribulose 5-phosphate 3-epimerase;RPE
3.87;imidazoleglycerol-phosphate dehydratase;IGPDH
3.87;Imidazole-glycerol-3-phosphate synthase;IG3PS
3.87;phosphoribosyl-AMP cyclohydrolase;PRAMPC
3.87;histidinol-phosphate transaminase;HSTPT
3.87;histidinol-phosphatase;HISTP
3.87;histidinol dehydrogenase;HISTD
3.87;phosphoribosyl-ATP pyrophosphatase;PRATPP
3.87;1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase;PRMICI
3.87;ATP phosphoribosyltransferase;ATPPRT
3.74;nucleoside-diphosphate kinase (ATP:UDP);NDPK2
3.56;O-succinylhomoserine lyase (L-cysteine);SHSL1
3.56;O4-succinyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase; O-succinyl-L-homoserine succinate-lyase (adding hydrogen sulfide);SHSL2
3.34;L-glutamate transport;GLUt7m
3.27;malate dehydrogenase, cytoplasmic;MDH
2.82;homoserine kinase;HSK
2.82;threonine synthase;THRS
2.82;sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase;FBA3
2.82;phosphofructokinase (s7p);PFK_3
2.82;transketolase 1;TKT1
2.61;homoserine dehydrogenase (NADH);HSDxi
2.61;aspartate kinase;ASPK
2.61;aspartate-semialdehyde dehydrogenase;ASAD
2.38;phosphogluconate dehydrogenase;GND
2.38;glucose 6-phosphate dehydrogenase;G6PDH2r
2.38;6-phosphogluconolactonase;PGL
2.28;Pyrophosphate transport in via proton symport;PYRTRAINPROSYM
2.19;oxoglutarate/malate exchange;AKGMALtm
2.19;sulfate adenylyltransferase (ADP);SLFAT
2.19;adenylyl-sulfate kinase;ADSK
2.19;sulfite reductase (NADPH2);SULR
2.19;phosphoadenylyl-sulfate reductase (thioredoxin);PAPSR
2.19;3',5'-bisphosphate nucleotidase;BPNT
2.11;phosphate transport;PIt2r
1.90;3-isopropylmalate dehydratase;IPPMIa
1.90;leucine transaminase;LEUTA
1.90;2-oxo-4-methyl-3-carboxypentanoate decarboxylation;OMCDC
1.90;3-isopropylmalate dehydrogenase;IPMD
1.90;2-isopropylmalate hydratase;IPPMIb
1.87;dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate);DHAD1m
1.87;acetohydroxy acid isomeroreductase;ACEACIISO
1.87;acetolactate synthase;ACESYN
1.87;pyruvate carboxylase;PC
1.85;O-acetylhomoserine (thiol)-lyase;AHSERL2
1.85;homoserine O-trans-acetylase;HSERTA
1.84;thioredoxin reductase (NADPH);TRDR
